web-scraper-order,web-scraper-start-url,price,bedrooms,bathrooms,area,address,zip-code,colony,city,state,country,Latitud,Longitud
1689263605-173,https://propiedades.com/guadalajara/casas-venta?pagina=143,2000000,10,10,1000,Calzada de las Palmas #99,44790,La Aurora,Guadalajara,Jalisco,México,20.6584706,-103.3532258
1689263605-174,https://propiedades.com/guadalajara/casas-venta?pagina=143,1500000,6,2,120,Milano #1137,44910,Morelos,Guadalajara,Jalisco,México,20.6515797,-103.3606521
1689263605-175,https://propiedades.com/guadalajara/casas-venta?pagina=143,1500000,3,1,126,Capernaum #3900,44720,Bethel,Guadalajara,Jalisco,México,20.693139,-103.2743343
1689263605-176,https://propiedades.com/guadalajara/casas-venta?pagina=143,3500000,3,3,410,San Pablo #2167,44719,Talpita Poniente,Guadalajara,Jalisco,México,20.6850899,-103.3045261
1689263605-177,https://propiedades.com/guadalajara/casas-venta?pagina=143,2000000,10,10,1000,Calzada de las Palmas #99,44790,La Aurora,Guadalajara,Jalisco,México,20.6584706,-103.3532258
1689263605-178,https://propiedades.com/guadalajara/casas-venta?pagina=143,100000,4,3,140,ISLA USTICA 3199 #10,44987,Villa Vicente Guerrero,Guadalajara,Jalisco,México,20.6317664,-103.3962657
1689263605-179,https://propiedades.com/guadalajara/casas-venta?pagina=143,3060000,4,2,228,Puerto del Carmen #2210,44330,San Vicente,Guadalajara,Jalisco,México,20.7021278,-103.3146175
1689263605-180,https://propiedades.com/guadalajara/casas-venta?pagina=143,2000000,10,10,1000,Calzada de las Palmas #99,44790,La Aurora,Guadalajara,Jalisco,México,20.6584706,-103.3532258
1689263605-181,https://propiedades.com/guadalajara/casas-venta?pagina=143,3060000,4,2,228,Puerto del Carmen #2210,44330,San Vicente,Guadalajara,Jalisco,México,20.7021278,-103.3146175
1689263605-182,https://propiedades.com/guadalajara/casas-venta?pagina=143,7200000,3,3,255,Lerdo de Tejada #2430,44130,Arcos Vallarta,Guadalajara,Jalisco,México,20.7021278,-103.3146175
1689263605-183,https://propiedades.com/guadalajara/casas-venta?pagina=143,2600000,4,1,284,HACIENDA SANTA INES #2971,44727,Tetlán Rio Verde,Guadalajara,Jalisco,México,20.7021278,-103.3146175
1689263612-212,https://propiedades.com/guadalajara/casas-venta?pagina=142,11000000,16,null,500,ONTARIO #1373,44630,Providencia 2a Secc,Guadalajara,Jalisco,México,20.6966647,103.381135
1689263612-213,https://propiedades.com/guadalajara/casas-venta?pagina=142,3220000,4,null,399,CALZADA JUAN PABLO II #3140,44727,Tetlán Rio Verde,Guadalajara,Jalisco,México,20.7010504,-103.2896783
1689263612-214,https://propiedades.com/guadalajara/casas-venta?pagina=142,25000000,6,null,642,Av Pablo Neruda #2572,44630,Providencia 2a Secc,Guadalajara,Jalisco,México,20.6979368,-103.38204
1689263621-231,https://propiedades.com/guadalajara/casas-venta?pagina=141,750000,2,2,110,JOAQUIN MUCEL #335,44250,Lomas del Paraíso 2a. Sección,Guadalajara,Jalisco,México,20.7273629,-103.3229426
1689263629-252,https://propiedades.com/guadalajara/casas-venta?pagina=140,2800000,3,3,180,Lomas de Independencia #WHI275684,44240,Lomas de Independencia,Guadalajara,Jalisco,México,20.70203,-103.3351301
1689263629-253,https://propiedades.com/guadalajara/casas-venta?pagina=140,2280000,3,1,1,Independencia #WHI275823,44290,Independencia,Guadalajara,Jalisco,México,20.7049877,-103.3978966
1689263629-254,https://propiedades.com/guadalajara/casas-venta?pagina=140,3540000,4,3,295,Huentitan El Alto #WHI287966,44390,Huentitán El Alto,Guadalajara,Jalisco,México,20.7180834,-103.3115922
1689263637-282,https://propiedades.com/guadalajara/casas-venta?pagina=139,3700000,3,2,259,Piñón ##2326,44530,Comercial Abastos,Guadalajara,Jalisco,México,20.6533751,-103.3778507
1689263668-361,https://propiedades.com/guadalajara/casas-venta?pagina=135,3890000,3,2,130,AVENIDA CHAPULTEPEC #480,44160,Americana,Guadalajara,Jalisco,México,20.6677624,-103.3714519
1689263668-363,https://propiedades.com/guadalajara/casas-venta?pagina=135,29000000,7,2,885,Av Vallarta #1168,44160,Americana,Guadalajara,Jalisco,México,20.6749214,-103.3651319
1689263668-364,https://propiedades.com/guadalajara/casas-venta?pagina=135,6000000,3,4,300,Casa de prueba #22,44630,Providencia 2a Secc,Guadalajara,Jalisco,México,20.6941597,-103.381813
